1,Justin,justincwong89@gmail.com
2,Johnny,john@amail.com
3,Haley,H@gmail.com
4,Kayde,K@gmail.com
5,Haley,Her@gmail.com
6,Bazilo,Baz@gmail.com
7,Devin,rundevinrun@gmail.com
8,Josiah,Jameson@gmail.com
9,Testy McTest,test@mail.ca
10,Hasli,mongolian@gmail.com
11,Tibbers,bear@gmail.com,"[""bear: 111-111-1111""]"
12,Yi,yimi@ionia.com,"[""Wushi: 111-111-1111"", ""mobile: 222-222-2222""]"
13,gtb,sewer@gmail.com,"mobile: 111-111-1111, home: 222-222-2222"
14,Billy,Bob@mail.com,"home: 111-111-1111, mobile: 111-222-3333"
15,arghufdhua,aaa@mail.ca,home: 111,mobile: 222
